Date,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323,20200324,20200325,20200326,20200327,20200328,20200329,20200330,20200331,20200401,20200402,20200403,20200404,20200405,20200406,20200407,20200408,20200409,20200410,20200411
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,6,12,14,22,22,36,42,59,69,85,102,114,119,133,143,157,171,185,191,213,226,235,246,257
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,28,36,46,68,81,124,138,167,215,283,506,587,696,806,859,981,1077,1233,1432,1580,1796,1968,2119,2369,2769,2968,3191
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,12,16,22,22,33,46,96,118,165,174,218,280,335,381,404,426,473,523,584,643,704,743,830,875,946,1000,1119,1171,1226
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,2,2,3,5,5,5,6,9,9,9,12,12,18,20,28,44,65,104,152,265,357,450,577,736,873,919,1157,1289,1413,1598,1769,2019,2269,2456,2575,2726,3018,3112,3393
CA,0,0,0,0,0,53,53,60,69,88,114,133,157,202,202,252,293,335,483,611,924,1063,1279,1536,1733,2102,2355,3006,3879,4643,5708,6447,7482,8155,9191,10701,12026,13438,14336,15865,16957,18309,19472,19472
CO,0,0,0,0,0,0,0,2,8,8,9,12,28,45,72,101,131,131,160,183,216,277,363,475,591,720,912,1086,1430,1734,2061,2627,2627,2966,3342,3728,4173,4565,4950,5172,5429,5655,6510,6510
CT,0,0,0,0,0,0,0,0,0,1,1,2,3,6,6,11,20,26,41,68,96,194,194,223,415,618,875,1012,1291,1291,1993,2571,3128,3557,3824,4914,5276,5675,6906,7781,7781,9784,10538,11510
DC,0,0,0,0,0,0,0,0,0,1,1,5,5,10,10,10,16,17,22,31,39,71,77,98,116,137,183,231,267,304,342,401,495,586,653,757,902,998,1097,1211,1440,1523,1660,1778
DE,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,6,8,16,25,30,38,45,56,68,91,115,130,163,214,232,264,319,368,393,450,593,673,673,928,928,1207,1326,1479
FL,0,0,0,0,0,2,9,9,14,17,18,19,28,32,50,77,116,141,186,314,390,520,658,830,1171,1412,1682,2355,2765,3763,4246,5473,6338,6955,8010,9585,11111,12151,13324,14747,15455,16364,17531,18494
GA,0,0,0,0,0,2,2,2,6,7,12,17,22,31,42,66,99,121,146,197,287,420,507,600,772,1026,1247,1525,2001,2366,2651,2809,3929,4638,5348,5831,6160,6647,7314,8818,9901,10566,11483,12159
GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,12,14,15,27,29,32,37,45,51,55,56,58,69,77,82,84,93,112,113,121,125,128,130,133
HI,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,7,10,14,16,26,37,48,56,77,90,95,106,120,151,175,204,208,258,285,319,351,371,387,410,435,442,465
IA,0,0,0,0,0,0,0,0,0,0,3,8,13,14,16,17,18,22,23,29,38,45,68,90,105,124,145,179,235,298,336,424,497,549,614,699,786,868,946,1048,1145,1270,1388,1510
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,7,9,11,23,31,42,47,50,73,123,189,230,261,310,415,525,669,891,1013,1077,1101,1170,1210,1232,1353,1396
IL,0,0,0,0,0,4,5,5,6,6,7,19,19,25,32,46,64,93,159,288,422,585,753,1049,1273,1535,1865,2538,3026,3491,4596,5057,5994,6980,7695,8904,10357,11256,12262,13549,15078,16422,17887,19180
IN,0,0,0,0,0,0,0,1,1,2,2,6,10,12,12,15,19,24,30,39,56,79,126,201,259,365,477,645,981,1232,1514,1786,2159,2565,3039,3437,3953,4411,4944,5507,5943,6351,6907,7435
KS,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,8,11,15,16,34,44,55,64,82,98,126,168,202,261,319,368,428,482,552,620,698,747,845,900,900,1106,1166,1268
KY,0,0,0,0,0,0,0,0,1,1,4,6,8,8,11,14,16,21,22,26,35,47,54,99,104,124,157,198,248,302,394,439,480,591,680,770,831,917,955,1008,1149,1346,1693,1693
LA,0,0,0,0,0,0,0,0,0,0,1,1,6,14,36,69,91,114,171,240,347,479,585,837,1172,1388,1795,2305,2746,3315,3540,4025,5237,6424,9150,10297,12496,13010,14867,16284,17030,18283,19253,20014
MA,0,0,0,0,0,2,2,8,13,13,41,92,92,95,123,138,138,164,218,256,328,413,525,646,777,1159,1838,2417,3240,4257,4955,5752,6620,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860
MD,0,0,0,0,0,0,0,3,3,3,5,6,9,12,17,26,31,37,57,85,107,149,190,244,288,349,423,580,774,992,1239,1413,1660,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,17,32,43,53,57,73,89,107,125,149,155,168,211,253,275,303,344,376,432,456,470,499,519,537,560,586,616
MI,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,25,33,53,65,80,336,549,787,1035,1328,1791,7060,7767,8659,9287,10010,10901,11875,12888,14117,15252,16395,17567,18850,19823,20589,21504,22783,23993
MN,0,0,0,0,0,0,0,0,1,1,2,3,5,9,14,21,35,54,60,77,89,115,138,169,235,262,287,346,398,441,503,576,629,689,742,789,865,935,986,1069,1154,1242,1336,1427
MO,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,6,8,13,24,47,73,90,183,183,356,502,669,838,838,1031,1327,1581,1834,2113,2291,2367,2722,3037,3327,3539,3799,4024
MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,8,8,8,8,8,8,11,11,11,11
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,10,12,21,34,50,80,140,207,249,320,377,485,579,663,758,847,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,8,10,12,16,20,31,34,46,53,71,108,129,154,171,184,208,227,243,265,286,299,319,332,354,365,377
NC,0,0,0,0,0,1,1,2,2,2,2,7,7,12,15,23,32,33,40,63,97,137,184,255,297,398,504,636,763,935,1040,1307,1498,1584,1857,2093,2402,2585,2870,3221,3426,3651,3908,4312
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,15,20,28,28,30,34,39,52,65,83,98,109,126,142,159,173,186,207,225,237,251,269,278,293
NE,0,0,0,0,0,0,0,0,1,1,3,3,5,10,13,14,17,18,21,24,27,32,38,48,50,52,61,73,85,96,108,145,172,210,246,279,321,363,409,447,519,567,635,700
NH,0,0,0,0,0,2,2,2,2,4,4,4,4,6,6,7,13,13,17,26,39,44,55,65,78,101,108,137,158,187,214,314,314,415,415,479,540,621,669,715,788,788,819,885
NJ,0,0,0,0,0,0,1,1,4,6,11,15,24,30,50,50,98,178,267,427,742,890,1327,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,34124,37505,41090,44416,47437,51027,54588,58151
NM,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,10,13,17,23,28,35,43,57,57,65,83,100,112,136,191,237,237,281,315,363,403,495,543,624,686,794,865,1091,1091
NV,0,0,0,0,0,0,1,1,1,1,1,1,5,7,11,20,21,45,55,55,95,109,124,190,245,278,321,420,535,621,738,1008,1113,1279,1458,1514,1742,1836,1953,2087,2318,2456,2584,2700
NY,0,0,0,0,0,6,22,33,76,105,142,173,216,216,421,524,729,950,1700,2382,4152,7102,10356,15168,20875,25665,30811,37258,44635,52318,59513,66497,75795,83712,92381,102863,113704,122031,130689,138863,149316,159937,170512,180458
OH,0,0,0,0,0,0,0,0,0,0,3,3,4,5,13,13,36,50,67,88,119,169,247,351,442,564,704,867,1137,1406,1653,1933,2199,2547,2902,3312,3739,4043,4450,4782,5148,5512,5836,6187
OK,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,9,10,17,29,44,49,53,67,81,106,164,248,322,377,429,481,565,719,879,988,1159,1252,1327,1472,1524,1684,1794,1868
OR,0,0,0,0,0,3,3,3,7,14,14,15,19,19,30,30,36,39,47,75,88,114,114,161,191,209,209,327,414,479,548,606,690,736,826,899,999,1068,1132,1181,1239,1321,1321,1371
PA,0,0,0,0,0,0,0,2,4,6,10,12,16,22,41,47,63,76,96,133,185,268,371,479,644,851,1127,1687,2218,2751,3394,4087,4843,5805,7016,8420,10017,11510,12980,14559,16239,18228,19979,21655
PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,14,21,23,31,39,51,64,79,100,127,174,239,286,316,378,452,475,513,573,620,683,725,788
RI,0,0,1,1,2,2,2,3,2,3,3,3,5,5,14,20,20,21,23,33,44,54,66,83,106,124,132,165,203,239,294,402,489,566,657,709,806,922,1082,1230,1450,1727,2015,2349
SC,0,0,0,0,0,0,0,0,2,2,7,7,9,10,12,13,19,28,33,60,60,81,152,195,298,298,424,456,456,539,774,925,1083,1293,1554,1554,1917,2049,2049,2417,2552,2792,3065,3207
SD,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,9,9,10,11,11,11,14,14,21,28,30,41,46,58,68,90,101,108,129,165,187,212,240,288,320,393,447,536,626
TN,0,0,0,0,0,0,1,1,1,3,3,7,7,18,26,32,39,52,73,98,154,228,371,505,615,667,784,957,1203,1373,1537,1834,2239,2683,2845,3067,3321,3633,3802,4138,4362,4634,4862,5114
TX,0,0,0,0,0,1,1,5,8,8,12,13,21,23,39,51,56,57,64,83,143,194,304,334,352,410,974,1396,1731,2052,2552,2877,3266,3997,4669,5330,6110,6812,7276,8262,9353,10230,11671,12561
UT,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,6,28,39,51,63,78,112,136,181,257,299,346,402,480,602,719,806,887,1012,1074,1246,1428,1605,1675,1738,1846,1976,2102,2206
VA,0,0,0,0,0,0,0,0,0,2,3,8,9,17,30,30,45,51,67,77,94,114,152,219,254,290,391,460,604,739,890,1020,1250,1484,1706,2012,2407,2637,2878,3333,3645,4042,4509,5077
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,6,17,17,17,17,19,22,23,30,30,30,33,38,40,42,43,43,45,46,50,51
VT,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4,8,10,19,22,29,29,52,75,95,123,158,184,211,235,256,293,321,338,389,461,512,543,575,605,628,679,711
WA,9,18,30,34,58,76,96,149,181,246,343,390,474,543,693,793,924,1052,1218,1388,1535,1773,2006,2242,2450,2823,3275,3745,4238,4707,5102,5566,6030,6593,6962,7548,7934,8332,8679,9043,9506,9769,10224,10224
WI,0,0,0,0,0,1,1,1,1,1,1,2,3,8,19,19,33,47,72,106,155,206,281,385,416,457,585,707,842,989,1112,1221,1351,1550,1730,1912,2112,2267,2440,2578,2756,2885,3068,3213
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,12,16,20,39,51,76,96,113,126,162,191,217,237,282,324,345,412,462,523,554,577
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,10,15,18,19,23,24,26,29,44,53,70,82,86,94,109,130,150,162,187,197,210,216,221,230,320,261
